item,qta
Improved Confidential Dossiers,1260
Improved Damage Catalyst Part,2894
Improved Encoded Data,408
Improved Focus Catalyst Part,1043
Improved Health Catalyst Part,3486
Improved Isomer,232
Improved Metabolic Enhancers,245
Improved Morphic Peptides,961
Improved MRI,735
Improved Omnium Ore,821
Improved Parchment,1028
Improved Resistance Catalyst Part,2903
Improved Secret Intel,436
Improved Sigil,228
Improved Silicon Matrix,852
Improved Spliced X-Gene,189
Improved Syringe,581
Improved Unstable Molecules,412
Improved Vial,1023
Improved X-Rays,1146
Agility Conditioning,3
Ballistic Plating,1
Cerebral Interface,2
Explosive Ordnance,2
Laser Scope,2
Nanobionic Systems,2
Precision Techniques,1
Beta Cloth,1476
Classified Files,711
Close Combat Tactics,318
Crystals,140
DNA,186
Morphic Peptides,498
Parchment,326
Poly Fiber,595
Polymers,197
S.T.R.I.K.E. Tactics Manual,383
Secure Comlink,436
Security Clearance,683
Serum 612,108
Silicon Matrix,179
X-Gene,128
X-Rays,310
